Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Heavily indebted poor countries (HIPC),HPC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.675,0.6675,0.66,0.77,0.88,0.97,1.06,1.10,1.13,1.165,1.2,1.24,1.28,1.29,1.29,1.13,0.96,0.96
Croatia,HRV,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.76,0.83,0.89,1.07,1.24,1.29,1.34,1.31,1.27,1.43,1.59,1.68,1.77,1.72,1.66,1.46,1.26,1.26
Haiti,HTI,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.64,0.59,0.54,0.71,0.88,0.88,,1.16,1.16,1.16,,1.25,1.25,1.21,1.16,0.99,0.81,0.81
Hungary,HUN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.81,0.88,0.94,1.12,1.3,1.3,1.3,1.285,1.27,1.47,1.67,1.76,1.84,1.71,1.58,1.38,1.18,1.18
IBRD only,IBD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.51,0.49,0.58,0.67,0.7475,0.825,0.8675,0.91,1.0025,1.095,1.1925,1.29,1.23,1.17,1.00,0.83,0.83
IDA & IBRD total,IBT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.555,0.5425,0.53,0.63,0.73,0.81,0.89,0.96,1.03,1.08,1.12,1.2075,1.295,1.2675,1.24,1.08,0.92,0.92
IDA total,IDA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.58,0.57,0.55,0.675,0.8,0.89,0.98,1.0475,1.115,1.135,1.155,1.2375,1.32,1.3125,1.305,1.1275,0.95,0.95
IDA blend,IDB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.535,0.5325,0.53,0.665,0.8,0.89,0.98,1.0775,1.175,1.205,1.235,1.3025,1.37,1.2975,1.225,1.1225,1.02,1.02
Indonesia,IDN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.17,0.22,0.27,0.27,0.27,0.42,0.57,0.535,0.5,0.645,0.79,0.63,0.47,0.70,0.93,0.78,0.63,0.63
IDA only,IDX,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.60,0.57,0.685,0.8,0.89,0.98,1.0275,1.075,1.1125,1.15,1.23,1.31,1.32,1.33,1.13,0.93,0.93
Isle of Man,IMN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
India,IND,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.6,0.63,0.66,0.77,0.87,0.94,1.01,1.05,1.09,1.12,1.15,1.20,1.25,1.175,1.1,1.035,0.97,0.97
Not classified,INX,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Ireland,IRL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.72,0.81,0.9,1.095,1.29,1.32,1.34,1.45,1.56,1.67,1.78,1.90,2.02,1.97,1.92,1.65,1.37,1.37
"Iran, Islamic Rep.",IRN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.05,0.06,0.07,0.08,0.09,0.09,0.09,0.095,0.1,0.0985,0.097,0.2135,0.33,0.352,0.374,0.387,0.399,0.399
